State,Voltage(V),Current(A)
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0.1,2.43857E-08
1,0.2,5.59571E-08
1,0.3,9.89286E-08
1,0.4,1.52857E-07
1,0.5,2.19714E-07
1,0.6,3.00857E-07
1,0.7,0.000000402
1,0.8,5.25571E-07
1,0.9,6.66714E-07
1,1,8.36286E-07
1,1.1,9.99143E-07
1,1.2,1.18286E-06
1,1.3,1.42286E-06
1,1.4,0.00000168
1,1.5,0.00000195
1,1.6,2.30143E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.6,2.30143E-06
1,1.5,0.00000195
1,1.4,0.00000168
1,1.3,1.42286E-06
1,1.2,1.18286E-06
1,1.1,9.99143E-07
1,1,8.36286E-07
1,0.9,6.66714E-07
1,0.8,5.25571E-07
1,0.7,0.000000402
1,0.6,3.00857E-07
1,0.5,2.19714E-07
1,0.4,1.52857E-07
1,0.3,9.89286E-08
