State,Voltage(V),Current(A)
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.964285714,0,2E-10
0.946428571,0.1,2.43857E-08
0.928571429,0.2,5.59571E-08
0.910714286,0.3,9.89286E-08
0.892857143,0.4,1.52857E-07
0.875,0.5,2.19714E-07
0.857142857,0.6,3.00857E-07
0.839285714,0.7,0.000000402
0.821428571,0.8,5.25571E-07
0.803571429,0.9,6.66714E-07
0.785714286,1,8.36286E-07
0.767857143,1.1,9.99143E-07
0.75,1.2,1.18286E-06
0.732142857,1.3,1.42286E-06
0.714285714,1.4,0.00000168
0.696428571,1.5,0.00000195
0.678571429,1.6,2.30143E-06
0.660714286,1.7,2.68857E-06
0.642857143,1.8,3.02429E-06
0.625,1.9,3.49286E-06
0.607142857,2,4.04714E-06
0.589285714,2.1,0.00000453
0.571428571,2.2,4.98429E-06
0.553571429,2.3,5.61571E-06
0.535714286,2.4,6.15143E-06
0.517857143,2.5,6.82286E-06
-0.5,2.6,0.004999257
-0.482142857,2.7,0.004999371
-0.464285714,2.8,0.0049992
-0.446428571,2.9,0.0049994
-0.428571429,3,0.0049994
-0.410714286,3.1,0.004999257
-0.392857143,3.2,0.004999543
-0.375,3.3,0.0049994
-0.357142857,3.4,0.004999286
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
