V_HRS,I_HRS,V_LRS,I_LRS
-2.94,-1.20E-05,3.5,0.0049994
-2.88,-2.23E-05,3.43,0.0049992
-2.82,-2.08E-05,3.36,0.0049994
-2.76,-1.86E-05,3.29,0.0049994
-2.7,-1.73E-05,3.22,0.0049996
-2.64,-1.64E-05,3.15,0.0049994
-2.58,-1.54E-05,3.08,0.0049992
-2.52,-1.43E-05,3.01,0.0049994
-2.46,-1.36E-05,2.94,0.0049994
-2.4,-1.29E-05,2.87,0.0049994
-2.34,-1.20E-05,2.8,0.0049992
-2.28,-1.12E-05,2.73,0.0049992
-2.22,-1.05E-05,2.66,0.0049996
-2.16,-9.91E-06,2.59,0.0049992
-2.1,-9.31E-06,2.52,0.0049994
-2.04,-8.65E-06,2.45,0.0049992
-1.98,-8.17E-06,2.38,0.0049992
-1.92,-8.16E-06,2.31,0.0049994
-1.86,-7.48E-06,2.24,0.0049992
-1.8,-6.55E-06,2.17,0.0049992
-1.74,-6.11E-06,2.1,0.0049994
-1.68,-5.71E-06,2.03,0.0049994
-1.62,-5.30E-06,1.96,0.0049994
-1.56,-4.90E-06,1.89,0.0049994
-1.5,-4.56E-06,1.82,0.004921
-1.44,-4.22E-06,1.75,0.0044052
-1.38,-3.93E-06,1.68,0.0039448
-1.32,-3.65E-06,1.61,0.0035236
-1.26,-3.35E-06,1.54,0.0031382
-1.2,-3.05E-06,1.47,0.0027882
-1.14,-2.78E-06,1.4,0.0024694
-1.08,-2.46E-06,1.33,0.0021804
-1.02,-2.21E-06,1.26,0.0019228
-0.96,-1.95E-06,1.19,0.0016886
-0.9,-1.76E-06,1.12,0.0014804
-0.84,-1.51E-06,1.05,0.0012942
-0.78,-1.30E-06,0.98,0.0011288
-0.72,-1.12E-06,0.91,0.00098044
-0.66,-9.75E-07,0.84,0.00084842
-0.6,-7.86E-07,0.77,0.00073
-0.54,-6.68E-07,0.7,0.00062494
-0.48,-5.79E-07,0.63,0.00053066
-0.42,-4.98E-07,0.56,0.00044612
-0.36,-3.97E-07,0.49,0.0003704
-0.3,-3.03E-07,0.42,0.00030194
-0.24,-2.11E-07,0.35,0.00024
-0.18,-1.42E-07,0.28,0.00018398
-0.12,-8.49E-08,0.21,0.00013262
-0.06,-3.46E-08,0.14,8.56E-05
0,2.00E-10,0.07,4.18E-05
0.07,1.62E-08,0,1.38E-06
0.14,3.53E-08,-0.06,-0.00037474
0.21,5.94E-08,-0.12,-0.00075086
0.28,8.85E-08,-0.18,-0.00112676
0.35,1.25E-07,-0.24,-0.0015014
0.42,1.64E-07,-0.3,-0.001877
0.49,2.12E-07,-0.36,-0.0022536
0.56,2.66E-07,-0.42,-0.0026284
0.63,3.27E-07,-0.48,-0.0029986
0.7,4.02E-07,-0.54,-0.0033732
0.77,4.84E-07,-0.6,-0.003746
0.84,5.81E-07,-0.66,-0.004114
0.91,6.81E-07,-0.72,-0.004492
0.98,8.02E-07,-0.78,-0.0048708
1.05,9.22E-07,-0.84,-0.0052538
1.12,1.03E-06,-0.9,-0.0056318
1.19,1.16E-06,-0.96,-0.006015
1.26,1.32E-06,-1.02,-0.0063922
1.33,1.50E-06,-1.08,-0.0067782
1.4,1.68E-06,-1.14,-0.0071588
1.47,1.86E-06,-1.2,-0.007544
1.54,2.07E-06,-1.26,-0.007935
1.61,2.34E-06,-1.32,-0.0083302
1.68,2.62E-06,-1.38,-0.008714
1.75,2.86E-06,-1.44,-0.009099
1.82,3.09E-06,-1.5,-0.0094912
1.89,3.43E-06,-1.56,-0.0098854
1.96,3.87E-06,-1.62,-0.010282
2.03,4.18E-06,-1.68,-0.010706
2.1,4.53E-06,-1.74,-0.0110724
2.17,4.80E-06,-1.8,-0.011497
2.24,5.23E-06,-1.86,-0.01184
2.31,5.68E-06,-1.92,-0.012308
2.38,6.04E-06,-1.98,-0.01277
2.45,6.43E-06,-2.04,-0.013312
2.52,6.98E-06,-2.1,-0.013822
2.59,7.41E-06,-2.16,-0.014326
,,-2.22,-0.014874
,,-2.28,-0.015362
,,-2.34,-0.015898
,,-2.4,-0.016402
,,-2.46,-0.016882
,,-2.52,-0.017424
,,-2.58,-0.01787
,,-2.64,-0.018396
,,-2.7,-0.018906
,,-2.76,-0.01936
,,-2.82,-0.019796
,,-2.88,-0.020224
,,-2.94,-0.02059
,,-3,-0.020894
