V_HRS,I_HRS,V_LRS,I_LRS
-1.50E+00,-1.93E-04,1.20E+00,1.00E-03
-1.47E+00,-1.60E-04,1.18E+00,1.00E-03
-1.44E+00,-1.55E-04,1.15E+00,1.00E-03
-1.41E+00,-1.58E-04,1.13E+00,1.00E-03
-1.38E+00,-1.46E-04,1.10E+00,1.00E-03
-1.35E+00,-1.45E-04,1.08E+00,1.00E-03
-1.32E+00,-1.39E-04,1.06E+00,1.00E-03
-1.29E+00,-1.37E-04,1.03E+00,1.00E-03
-1.26E+00,-1.28E-04,1.01E+00,1.00E-03
-1.23E+00,-1.20E-04,9.84E-01,1.00E-03
-1.20E+00,-1.14E-04,9.60E-01,1.00E-03
-1.17E+00,-1.10E-04,9.36E-01,1.00E-03
-1.14E+00,-1.05E-04,9.12E-01,1.00E-03
-1.11E+00,-9.93E-05,8.88E-01,1.00E-03
-1.08E+00,-9.48E-05,8.64E-01,1.00E-03
-1.05E+00,-9.06E-05,8.40E-01,1.00E-03
-1.02E+00,-8.65E-05,8.16E-01,1.00E-03
-9.90E-01,-8.35E-05,7.92E-01,1.00E-03
-9.60E-01,-7.93E-05,7.68E-01,9.80E-04
-9.30E-01,-7.79E-05,7.44E-01,9.47E-04
-9.00E-01,-7.40E-05,7.20E-01,9.16E-04
-8.70E-01,-7.05E-05,6.96E-01,8.82E-04
-8.40E-01,-6.60E-05,6.72E-01,8.49E-04
-8.10E-01,-6.53E-05,6.48E-01,8.19E-04
-7.80E-01,-6.01E-05,6.24E-01,7.86E-04
-7.50E-01,-6.07E-05,6.00E-01,7.54E-04
-7.20E-01,-5.74E-05,5.76E-01,7.21E-04
-6.90E-01,-5.36E-05,5.52E-01,6.89E-04
-6.60E-01,-5.31E-05,5.28E-01,6.58E-04
-6.30E-01,-5.06E-05,5.04E-01,6.27E-04
-6.00E-01,-4.84E-05,4.80E-01,5.95E-04
-5.70E-01,-4.30E-05,4.56E-01,5.65E-04
-5.40E-01,-4.20E-05,4.32E-01,5.33E-04
-5.10E-01,-3.79E-05,4.08E-01,5.03E-04
-4.80E-01,-3.50E-05,3.84E-01,4.72E-04
-4.50E-01,-3.30E-05,3.60E-01,4.41E-04
-4.20E-01,-2.99E-05,3.36E-01,4.11E-04
-3.90E-01,-2.89E-05,3.12E-01,3.81E-04
-3.60E-01,-2.58E-05,2.88E-01,3.51E-04
-3.30E-01,-2.33E-05,2.64E-01,3.21E-04
-3.00E-01,-1.97E-05,2.40E-01,2.91E-04
-2.70E-01,-1.65E-05,2.16E-01,2.62E-04
-2.40E-01,-1.39E-05,1.92E-01,2.32E-04
-2.10E-01,-1.20E-05,1.68E-01,2.03E-04
-1.80E-01,-9.92E-06,1.44E-01,1.73E-04
-1.50E-01,-7.75E-06,1.20E-01,1.44E-04
-1.20E-01,-6.45E-06,9.60E-02,1.15E-04
-9.00E-02,-5.02E-06,7.20E-02,8.64E-05
-6.00E-02,-3.37E-06,4.80E-02,5.76E-05
-3.00E-02,-1.93E-06,2.40E-02,2.88E-05
0.00E+00,1.51E-07,0.00E+00,8.99E-08
2.40E-02,1.18E-06,-3.00E-02,-3.45E-05
4.80E-02,2.38E-06,-6.00E-02,-6.89E-05
7.20E-02,3.60E-06,-9.00E-02,-1.03E-04
9.60E-02,4.87E-06,-1.20E-01,-1.37E-04
1.20E-01,6.18E-06,-1.50E-01,-1.72E-04
1.44E-01,7.59E-06,-1.80E-01,-2.07E-04
1.68E-01,8.90E-06,-2.10E-01,-2.42E-04
1.92E-01,1.03E-05,-2.40E-01,-2.77E-04
2.16E-01,1.20E-05,-2.70E-01,-3.12E-04
2.40E-01,1.29E-05,-3.00E-01,-3.47E-04
2.64E-01,1.50E-05,-3.30E-01,-3.82E-04
2.88E-01,1.64E-05,-3.60E-01,-4.18E-04
3.12E-01,1.83E-05,-3.90E-01,-4.53E-04
3.36E-01,2.03E-05,-4.20E-01,-4.89E-04
3.60E-01,2.84E-05,-4.50E-01,-5.24E-04
3.84E-01,2.35E-05,-4.80E-01,-5.61E-04
4.08E-01,3.28E-05,-5.10E-01,-5.97E-04
4.32E-01,3.28E-05,-5.40E-01,-6.32E-04
4.56E-01,3.59E-05,-5.70E-01,-6.69E-04
4.80E-01,3.82E-05,-6.00E-01,-7.05E-04
5.04E-01,4.06E-05,-6.30E-01,-7.42E-04
5.28E-01,4.54E-05,-6.60E-01,-7.79E-04
5.52E-01,5.20E-05,-6.90E-01,-8.13E-04
5.76E-01,3.06E-05,-7.20E-01,-8.48E-04
6.00E-01,2.97E-05,-7.50E-01,-8.78E-04
6.24E-01,3.05E-05,-7.80E-01,-8.99E-04
6.48E-01,3.33E-05,-8.10E-01,-9.08E-04
6.72E-01,3.57E-05,-8.40E-01,-8.87E-04
6.96E-01,3.79E-05,-8.70E-01,-8.06E-04
7.20E-01,6.92E-04,-9.00E-01,-8.05E-04
7.44E-01,7.61E-04,-9.30E-01,-7.42E-04
7.68E-01,8.30E-04,-9.60E-01,-6.85E-04
7.92E-01,8.96E-04,-9.90E-01,-5.53E-04
8.16E-01,9.68E-04,-1.02E+00,-4.65E-04
,,-1.05E+00,-4.51E-04
,,-1.08E+00,-4.29E-04
,,-1.11E+00,-1.65E-04
,,-1.14E+00,-1.23E-04
,,-1.17E+00,-1.25E-04
,,-1.20E+00,-1.20E-04
