t`s	v(vd)`V
0	0
1.5625e-11	0
6.5625e-11	0
2.25625e-10	0
2.55486e-10	0
3.51042e-10	0
3.70153e-10	0
4.31309e-10	0
6.27008e-10	0
6.66147e-10	0
6.97459e-10	0
7.97657e-10	0
8.77815e-10	0
1.13432e-09	0
1.8237e-09	0
3.18869e-09	0
3.46169e-09	0
4.33528e-09	0
6.37952e-09	0
6.5461e-09	0
7.07915e-09	0
8.78491e-09	0
8.95485e-09	0
9.49865e-09	0
1.12388e-08	0
1.14113e-08	0
1.19634e-08	0
1.373e-08	0
1.38094e-08	0
1.40634e-08	0
1.48762e-08	0
1.5e-08	0
1.51981e-08	0
1.53858e-08	0
1.5829e-08	0
1.69173e-08	0
1.82488e-08	0
2.01294e-08	0
2.3e-08	0
2.35138e-08	0.0256891
2.44314e-08	0.0715683
2.73676e-08	0.218382
3.04537e-08	0.372686
3.58039e-08	0.640193
3.9e-08	0.8
4.3e-08	1
4.54249e-08	1.12125
4.7e-08	1.2
4.95201e-08	1.2
5.47416e-08	1.2
6.61668e-08	1.2
7e-08	1.2
7.4e-08	1
7.8e-08	0.8
8.44e-08	0.48
8.62906e-08	0.385473
9.23403e-08	0.0829845
9.27552e-08	0.0622384
9.38165e-08	0.00917562
9.4e-08	0
9.42936e-08	0
9.47634e-08	0
9.5897e-08	0
9.8034e-08	0
1.01407e-07	0
1.02e-07	0
1.02949e-07	0
1.03334e-07	0
1.03612e-07	0
1.03834e-07	0
1.04012e-07	0
1.04155e-07	0
1.04268e-07	0
1.04291e-07	0
1.04364e-07	0
1.04422e-07	0
1.04609e-07	0
1.04646e-07	0
1.04766e-07	0
1.05148e-07	0
1.05225e-07	0
1.05286e-07	0
1.05335e-07	0
1.05491e-07	0
1.05523e-07	0
1.05623e-07	0
1.05943e-07	0
1.06008e-07	0
1.06059e-07	0
1.06223e-07	0
1.06256e-07	0
1.06361e-07	0
1.06697e-07	0
1.06741e-07	0
1.06882e-07	0
1.0691e-07	0
1.07e-07	0
1.07288e-07	0
1.07328e-07	0
1.07455e-07	0
1.07862e-07	0
1.0788e-07	0
1.07937e-07	0
1.08119e-07	0
1.08487e-07	0
1.09e-07	0
1.0982e-07	0
1.10173e-07	0
1.11182e-07	0
1.14412e-07	0
1.17e-07	0
1.20154e-07	0.0657091
1.21345e-07	0.0905132
1.25155e-07	0.169886
1.28925e-07	0.248439
1.32e-07	0.3125
1.365e-07	0.40625
1.38239e-07	0.442475
1.41e-07	0.5
1.45418e-07	0.5
1.56523e-07	0.5
1.64e-07	0.5
1.68e-07	0.416667
1.72e-07	0.333333
1.784e-07	0.2
1.80294e-07	0.160544
1.86354e-07	0.0342849
1.88e-07	0
1.90117e-07	0
1.91297e-07	0
1.93974e-07	0
1.96e-07	0
1.96761e-07	0
1.97279e-07	0
1.98913e-07	0
2.03e-07	0
2.05476e-07	0
2.06266e-07	0
2.08795e-07	0
2.11e-07	0
2.14528e-07	-0.220514
2.1582e-07	-0.301222
2.19615e-07	-0.538452
2.23667e-07	-0.79166
2.27e-07	-1
2.31e-07	-1.25
2.32743e-07	-1.35891
2.35e-07	-1.5
2.38612e-07	-1.5
2.48842e-07	-1.5
2.58e-07	-1.5
2.62e-07	-1.25
2.66e-07	-1
2.724e-07	-0.6
2.74257e-07	-0.483918
2.80201e-07	-0.112455
2.82e-07	0
2.84121e-07	0
2.85342e-07	0
2.86164e-07	0
2.88051e-07	0
2.9e-07	0
2.9053e-07	0
2.91041e-07	0
2.91382e-07	0
2.91899e-07	0
2.93105e-07	0
2.95917e-07	0
2.96188e-07	0
2.97e-07	0
2.97325e-07	0
2.9767e-07	0
2.98627e-07	0
3.00211e-07	0
3.018e-07	0
3.05e-07	0
3.07965e-07	0.0617751
3.09421e-07	0.0921043
3.1377e-07	0.182707
3.17451e-07	0.259404
3.21e-07	0.333333
3.25e-07	0.416667
3.26757e-07	0.453273
3.29e-07	0.5
3.32589e-07	0.5
3.44072e-07	0.5
3.52e-07	0.5
3.56e-07	0.416667
3.6e-07	0.333333
3.664e-07	0.2
3.68244e-07	0.161587
3.74144e-07	0.0386651
3.76e-07	0
3.78107e-07	0
3.79263e-07	0
3.82461e-07	0
3.84e-07	0
3.84615e-07	0
3.85091e-07	0
3.86369e-07	0
3.86533e-07	0
3.87058e-07	0
3.88737e-07	0
3.89073e-07	0
3.89341e-07	0
3.89769e-07	0
3.90599e-07	0
3.90925e-07	0
3.91958e-07	0
3.92441e-07	0
3.92538e-07	0
3.92847e-07	0
3.93624e-07	0
3.94737e-07	0
3.94929e-07	0
3.95542e-07	0
3.97137e-07	0
3.97603e-07	0
3.97952e-07	0
3.98214e-07	0
3.98812e-07	0
3.99e-07	0
