t`s	i(vs)`A
0	9.66831e-19
1.5625e-11	4.74341e-09
6.5625e-11	-4.86837e-09
2.25625e-10	4.84398e-09
2.55486e-10	4.77333e-09
3.51042e-10	-4.69309e-09
3.70153e-10	-4.79899e-09
4.31309e-10	-4.93634e-09
6.27008e-10	4.89888e-09
6.66147e-10	4.7439e-09
6.97459e-10	4.74463e-09
7.97657e-10	4.74277e-09
8.77815e-10	4.7466e-09
1.13432e-09	-4.86162e-09
1.8237e-09	4.83818e-09
3.18869e-09	-2.34966e-09
3.46169e-09	4.72916e-09
4.33528e-09	-4.88143e-09
6.37952e-09	4.83935e-09
6.5461e-09	4.75294e-09
7.07915e-09	4.74118e-09
8.78491e-09	-4.76543e-09
8.95485e-09	-4.86165e-09
9.49865e-09	-4.87546e-09
1.12388e-08	4.82936e-09
1.14113e-08	4.75372e-09
1.19634e-08	4.74092e-09
1.373e-08	-4.7638e-09
1.38094e-08	-4.86908e-09
1.40634e-08	-4.87832e-09
1.48762e-08	4.79103e-09
1.5e-08	4.7104e-09
1.51981e-08	1.87209e-06
1.53858e-08	1.8989e-06
1.5829e-08	1.95123e-06
1.69173e-08	2.01886e-06
1.82488e-08	2.08167e-06
2.01294e-08	2.97843e-06
2.3e-08	1.3243e-05
2.35138e-08	1.90551e-05
2.44314e-08	2.78165e-05
2.73676e-08	3.23572e-05
3.04537e-08	4.52114e-05
3.58039e-08	7.23578e-05
3.9e-08	0.000887273
4.3e-08	0.000999504
4.54249e-08	0.00100077
4.7e-08	0.00100143
4.95201e-08	0.00100154
5.47416e-08	0.00100153
6.61668e-08	0.00100153
7e-08	0.00100153
7.4e-08	0.000999272
7.8e-08	0.000997022
8.44e-08	0.000555167
8.62906e-08	0.000424949
9.23403e-08	3.62698e-05
9.27552e-08	1.35839e-05
9.38165e-08	-8.41837e-07
9.4e-08	-5.00377e-06
9.42936e-08	-2.97867e-06
9.47634e-08	-2.35718e-06
9.5897e-08	-2.03482e-06
9.8034e-08	-1.81563e-06
1.01407e-07	-1.87475e-06
1.02e-07	-1.71962e-06
1.02949e-07	-1.07764e-08
1.03334e-07	-6.20244e-09
1.03612e-07	-4.86522e-09
1.03834e-07	-4.13459e-09
1.04012e-07	-3.68122e-09
1.04155e-07	-3.38101e-09
1.04268e-07	-3.43828e-09
1.04291e-07	-3.22738e-09
1.04364e-07	-3.31067e-09
1.04422e-07	-3.399e-09
1.04609e-07	3.07388e-09
1.04646e-07	3.11097e-09
1.04766e-07	3.21372e-09
1.05148e-07	-3.42481e-09
1.05225e-07	-3.45316e-09
1.05286e-07	-3.45151e-09
1.05335e-07	-3.41542e-09
1.05491e-07	3.11961e-09
1.05523e-07	3.1643e-09
1.05623e-07	3.21149e-09
1.05943e-07	-3.42551e-09
1.06008e-07	-3.47283e-09
1.06059e-07	-7.067e-10
1.06223e-07	3.14032e-09
1.06256e-07	-3.51278e-09
1.06361e-07	3.25748e-09
1.06697e-07	-3.47478e-09
1.06741e-07	3.0869e-09
1.06882e-07	3.14424e-09
1.0691e-07	-3.45088e-09
1.07e-07	3.24474e-09
1.07288e-07	-3.46035e-09
1.07328e-07	-3.18256e-09
1.07455e-07	-3.33092e-09
1.07862e-07	3.08104e-09
1.0788e-07	-3.16961e-09
1.07937e-07	3.16725e-09
1.08119e-07	2.91836e-09
1.08487e-07	-3.40634e-09
1.09e-07	-2.5423e-09
1.0982e-07	1.85681e-06
1.10173e-07	1.92415e-06
1.11182e-07	1.91114e-06
1.14412e-07	2.02867e-06
1.17e-07	4.12474e-06
1.20154e-07	8.78292e-05
1.21345e-07	0.000123752
1.25155e-07	0.000207497
1.28925e-07	0.000314398
1.32e-07	0.000372639
1.365e-07	0.000495284
1.38239e-07	0.000546439
1.41e-07	0.000604346
1.45418e-07	0.000604375
1.56523e-07	0.00060432
1.64e-07	0.000604322
1.68e-07	0.000513437
1.72e-07	0.000384806
1.784e-07	0.000217392
1.80294e-07	0.000156008
1.86354e-07	-4.26457e-07
1.88e-07	3.36418e-06
1.90117e-07	-2.00126e-06
1.91297e-07	-1.82509e-06
1.93974e-07	-1.90775e-06
1.96e-07	-1.71568e-06
1.96761e-07	-1.35182e-08
1.97279e-07	-7.41235e-09
1.98913e-07	2.48437e-09
2.03e-07	-1.8636e-09
2.05476e-07	1.80797e-06
2.06266e-07	1.90012e-06
2.08795e-07	1.8906e-06
