t`s	i(va)`A
0	-1.49887e-07
2.5e-10	-1.49887e-07
5e-10	-1.49887e-07
1.3e-09	-1.49887e-07
3.86e-09	-1.49887e-07
8.86e-09	-1.49887e-07
1.386e-08	-1.49887e-07
1.886e-08	-1.49887e-07
2.386e-08	-1.49887e-07
2.5e-08	-1.49887e-07
2.6824e-08	-1.7668e-07
3.1824e-08	1.98862e-05
3.5e-08	3.8765e-05
3.75e-08	3.8765e-05
4.25e-08	3.8765e-05
4.75e-08	3.8765e-05
5.25e-08	3.8765e-05
5.75e-08	3.8765e-05
6e-08	3.8765e-05
6.25e-08	2.30491e-05
6.75e-08	7.73589e-06
7e-08	-1.49887e-07
7.25e-08	-1.49887e-07
7.75e-08	-1.49887e-07
8.25e-08	-1.49887e-07
8.75e-08	-1.49887e-07
9.25e-08	-1.49887e-07
9.5e-08	-1.49887e-07
9.75e-08	-1.13165e-07
1.025e-07	-3.08114e-05
1.075e-07	-4.66695e-05
1.125e-07	-7.06895e-05
1.175e-07	-0.000107072
1.225e-07	-0.00016218
1.25e-07	-0.000201702
1.275e-07	-0.000201702
1.325e-07	-0.000201702
1.375e-07	-0.000201702
1.425e-07	-0.000201702
1.475e-07	-0.000201702
1.5e-07	-0.000201702
1.525e-07	-0.000162181
1.575e-07	-0.000107072
1.625e-07	-7.06896e-05
1.675e-07	-4.66695e-05
1.725e-07	-3.08114e-05
1.775e-07	-6.25995e-06
1.8e-07	-1.49887e-07
1.825e-07	3.51299e-06
1.875e-07	-1.49887e-07
1.925e-07	-1.49887e-07
1.975e-07	-1.49887e-07
2.025e-07	-1.49887e-07
2.05e-07	-1.49887e-07
2.075e-07	-1.86609e-07
2.125e-07	2.30491e-05
2.15e-07	3.8765e-05
2.175e-07	3.8765e-05
2.225e-07	3.8765e-05
2.275e-07	3.8765e-05
2.325e-07	3.8765e-05
2.375e-07	3.8765e-05
2.4e-07	3.8765e-05
2.425e-07	2.30491e-05
2.475e-07	7.73589e-06
2.5e-07	-1.49887e-07
2.525e-07	-1.49887e-07
2.575e-07	-1.49887e-07
2.625e-07	-1.49887e-07
2.675e-07	-1.49887e-07
2.725e-07	-1.49887e-07
2.75e-07	-1.49887e-07
2.775e-07	-1.86609e-07
2.825e-07	2.30491e-05
2.875e-07	5.08261e-05
2.925e-07	0.00100276
2.975e-07	0.00100091
2.99e-07	0.00100176
3.014e-07	0.00100176
3.064e-07	0.00100176
3.114e-07	0.00100176
3.164e-07	0.00100176
3.214e-07	0.00100176
3.24e-07	0.00100176
3.265e-07	0.00100035
3.315e-07	0.000997534
3.365e-07	0.00070716
3.415e-07	0.000384516
3.465e-07	8.87795e-05
3.48e-07	8.40762e-08
3.504e-07	-8.40762e-08
3.554e-07	-8.40762e-08
3.604e-07	-8.40762e-08
3.654e-07	-8.40762e-08
3.704e-07	-8.40762e-08
3.73e-07	-8.40762e-08
3.755e-07	1.58494e-06
3.805e-07	0.000459939
3.83e-07	0.000618443
3.855e-07	0.000618443
3.905e-07	0.000618443
3.955e-07	0.000618443
4.005e-07	0.000618443
4.055e-07	0.000618443
4.08e-07	0.000618443
4.105e-07	0.00045994
4.155e-07	0.000138164
4.18e-07	-8.40762e-08
4.205e-07	-8.40762e-08
4.255e-07	-8.40762e-08
4.305e-07	-8.40762e-08
4.355e-07	-8.40762e-08
4.405e-07	-8.40762e-08
4.43e-07	-8.40762e-08
4.455e-07	-1.75309e-06
4.505e-07	-0.000467021
4.555e-07	-0.000770626
4.605e-07	-0.000849914
4.655e-07	-0.000209263
4.705e-07	-0.00016218
4.73e-07	-0.000201702
4.755e-07	-0.000201702
4.805e-07	-0.000201702
4.855e-07	-0.000201702
4.905e-07	-0.000201702
4.955e-07	-0.000201702
4.98e-07	-0.000201702
5.005e-07	-0.000162181
5.055e-07	-0.000107072
5.105e-07	-7.06896e-05
5.155e-07	-4.66695e-05
5.205e-07	-3.08114e-05
5.255e-07	-6.25995e-06
5.28e-07	-1.49887e-07
5.305e-07	3.51299e-06
5.355e-07	-1.49887e-07
5.405e-07	-1.49887e-07
5.455e-07	-1.49887e-07
5.505e-07	-1.49887e-07
5.53e-07	-1.49887e-07
5.555e-07	-1.86609e-07
5.605e-07	2.30491e-05
5.63e-07	3.8765e-05
5.655e-07	3.8765e-05
5.705e-07	3.8765e-05
5.755e-07	3.8765e-05
5.805e-07	3.8765e-05
5.855e-07	3.8765e-05
5.88e-07	3.8765e-05
5.905e-07	2.30491e-05
5.955e-07	7.73589e-06
5.98e-07	-1.49887e-07
6.005e-07	-1.49887e-07
6.055e-07	-1.49887e-07
6.105e-07	-1.49887e-07
6.155e-07	-1.49887e-07
6.205e-07	-1.49887e-07
6.23e-07	-1.49887e-07
6.255e-07	-1.86609e-07
6.305e-07	2.30491e-05
6.355e-07	5.08261e-05
6.405e-07	0.00100276
6.455e-07	0.00100091
6.47e-07	0.00100176
6.494e-07	0.00100176
6.544e-07	0.00100176
6.594e-07	0.00100176
6.644e-07	0.00100176
6.694e-07	0.00100176
6.72e-07	0.00100176
6.745e-07	0.00100035
6.795e-07	0.000997534
6.845e-07	0.00070716
6.895e-07	0.000384516
6.945e-07	8.87795e-05
6.96e-07	-8.40762e-08
6.984e-07	-8.40762e-08
7.034e-07	-8.40762e-08
7.084e-07	-8.40762e-08
7.134e-07	-8.40762e-08
7.184e-07	-8.40762e-08
7.21e-07	-8.40762e-08
7.235e-07	1.58494e-06
7.285e-07	0.000459939
7.31e-07	0.000618443
7.335e-07	0.000618443
7.385e-07	0.000618443
7.435e-07	0.000618443
7.485e-07	0.000618443
7.535e-07	0.000618443
7.56e-07	0.000618443
7.585e-07	0.00045994
7.635e-07	0.000138164
7.66e-07	-8.40762e-08
7.685e-07	-8.40762e-08
7.735e-07	-8.40762e-08
7.785e-07	-8.40762e-08
7.835e-07	-8.40762e-08
7.885e-07	-8.40762e-08
7.91e-07	-8.40762e-08
7.935e-07	-1.75309e-06
7.985e-07	-0.000467021
8.035e-07	-0.000770626
8.085e-07	-0.000849914
8.135e-07	-0.000209263
8.185e-07	-0.00016218
8.21e-07	-0.000201702
8.235e-07	-0.000201702
8.285e-07	-0.000201702
8.335e-07	-0.000201702
8.385e-07	-0.000201702
8.435e-07	-0.000201702
8.46e-07	-0.000201702
8.485e-07	-0.000162181
8.535e-07	-0.000107072
8.585e-07	-7.06896e-05
8.635e-07	-4.66695e-05
8.685e-07	-3.08114e-05
8.735e-07	-6.25995e-06
8.76e-07	-1.49887e-07
8.785e-07	3.51299e-06
8.835e-07	-1.49887e-07
8.885e-07	-1.49887e-07
8.935e-07	-1.49887e-07
8.985e-07	-1.49887e-07
9.01e-07	-1.49887e-07
9.035e-07	-1.86609e-07
9.085e-07	2.30491e-05
9.11e-07	3.8765e-05
9.135e-07	3.8765e-05
9.185e-07	3.8765e-05
9.235e-07	3.8765e-05
9.285e-07	3.8765e-05
9.335e-07	3.8765e-05
9.36e-07	3.8765e-05
9.385e-07	2.30491e-05
9.435e-07	7.73589e-06
9.46e-07	-1.49887e-07
9.485e-07	-1.49887e-07
9.535e-07	-1.49887e-07
9.585e-07	-1.49887e-07
9.635e-07	-1.49887e-07
9.685e-07	-1.49887e-07
9.71e-07	-1.49887e-07
9.735e-07	-1.86609e-07
9.785e-07	2.30491e-05
9.835e-07	5.08261e-05
9.885e-07	0.00100276
9.935e-07	0.00100091
9.95e-07	0.00100176
9.974e-07	0.00100176
1.0024e-06	0.00100176
1.0074e-06	0.00100176
1.0124e-06	0.00100176
1.0174e-06	0.00100176
1.02e-06	0.00100176
1.0225e-06	0.00100035
1.0275e-06	0.000997534
1.0325e-06	0.00070716
1.0375e-06	0.000384516
1.0425e-06	8.87795e-05
1.044e-06	-8.40762e-08
1.0464e-06	-8.40762e-08
1.0514e-06	-8.40762e-08
1.0564e-06	-8.40762e-08
1.0614e-06	-8.40762e-08
1.0664e-06	-8.40762e-08
1.069e-06	-8.40762e-08
1.0715e-06	1.58494e-06
1.0765e-06	0.000459939
1.079e-06	0.000618443
1.0815e-06	0.000618443
1.0865e-06	0.000618443
1.0915e-06	0.000618443
1.0965e-06	0.000618443
1.1015e-06	0.000618443
1.104e-06	0.000618443
1.1065e-06	0.00045994
1.1115e-06	0.000138164
1.114e-06	-8.40762e-08
1.1165e-06	-8.40762e-08
1.1215e-06	-8.40762e-08
1.1265e-06	-8.40762e-08
1.1315e-06	-8.40762e-08
1.1365e-06	-8.40762e-08
1.139e-06	-8.40762e-08
1.1415e-06	1.58494e-06
1.1465e-06	0.000459939
1.1515e-06	0.000773267
1.1565e-06	0.000998096
1.1615e-06	0.00100091
1.163e-06	0.00100176
1.1654e-06	0.00100176
1.1704e-06	0.00100176
1.1754e-06	0.00100176
1.1804e-06	0.00100176
1.1854e-06	0.00100176
1.188e-06	0.00100176
1.1905e-06	0.00100035
1.1955e-06	0.000997534
1.2005e-06	0.00070716
1.2055e-06	0.000384516
1.2105e-06	8.87795e-05
1.212e-06	-8.40762e-08
1.2144e-06	-8.40762e-08
1.2194e-06	-8.40762e-08
1.2244e-06	-8.40762e-08
1.2294e-06	-8.40762e-08
1.2344e-06	-8.40762e-08
1.237e-06	-8.40762e-08
1.2395e-06	1.58494e-06
1.2445e-06	0.000459939
1.247e-06	0.000618443
1.2495e-06	0.000618443
1.2545e-06	0.000618443
1.2595e-06	0.000618443
1.2645e-06	0.000618443
1.2695e-06	0.000618443
1.272e-06	0.000618443
1.2745e-06	0.00045994
1.2795e-06	0.000138164
1.282e-06	-8.40762e-08
1.2845e-06	-8.40762e-08
1.2895e-06	-8.40762e-08
1.2945e-06	-8.40762e-08
1.2995e-06	-8.40762e-08
1.3045e-06	-8.40762e-08
1.307e-06	-8.40762e-08
1.3095e-06	1.58494e-06
1.3145e-06	0.000459939
1.3195e-06	0.000773267
1.3245e-06	0.000998096
1.3295e-06	0.00100091
1.331e-06	0.00100176
1.3334e-06	0.00100176
1.3384e-06	0.00100176
1.3434e-06	0.00100176
1.3484e-06	0.00100176
1.3534e-06	0.00100176
1.356e-06	0.00100176
1.3585e-06	0.00100035
1.3635e-06	0.000997534
1.3685e-06	0.00070716
1.3735e-06	0.000384516
1.3785e-06	8.87795e-05
1.38e-06	-8.40762e-08
1.3824e-06	-8.40762e-08
1.3874e-06	-8.40762e-08
1.3924e-06	-8.40762e-08
1.3974e-06	-8.40762e-08
1.4024e-06	-8.40762e-08
1.405e-06	-8.40762e-08
1.4075e-06	1.58494e-06
1.4125e-06	0.000459939
1.415e-06	0.000618443
1.4175e-06	0.000618443
1.4225e-06	0.000618443
1.4275e-06	0.000618443
1.4325e-06	0.000618443
1.4375e-06	0.000618443
1.44e-06	0.000618443
1.4425e-06	0.00045994
1.4475e-06	0.000138164
1.45e-06	-8.40762e-08
1.4525e-06	-8.40762e-08
1.4575e-06	-8.40762e-08
1.4625e-06	-8.40762e-08
1.4675e-06	-8.40762e-08
1.4725e-06	-8.40762e-08
1.475e-06	-8.40762e-08
1.4775e-06	-1.75309e-06
1.4825e-06	-0.000467021
1.4875e-06	-0.000770626
1.4925e-06	-0.000849914
1.4975e-06	-0.000209263
1.5025e-06	-0.00016218
1.505e-06	-0.000201702
1.5075e-06	-0.000201702
1.5125e-06	-0.000201702
1.5175e-06	-0.000201702
1.5225e-06	-0.000201702
1.5275e-06	-0.000201702
1.53e-06	-0.000201702
1.5325e-06	-0.000162181
1.5375e-06	-0.000107072
1.5425e-06	-7.06896e-05
1.5475e-06	-4.66695e-05
1.5525e-06	-3.08114e-05
1.5575e-06	-6.25995e-06
1.56e-06	-1.49887e-07
1.5625e-06	3.51299e-06
1.5675e-06	-1.49887e-07
1.5725e-06	-1.49887e-07
1.5775e-06	-1.49887e-07
1.5825e-06	-1.49887e-07
1.585e-06	-1.49887e-07
1.5875e-06	-1.86609e-07
1.5925e-06	2.30491e-05
1.595e-06	3.8765e-05
1.5975e-06	3.8765e-05
1.6025e-06	3.8765e-05
1.6075e-06	3.8765e-05
1.6125e-06	3.8765e-05
1.6175e-06	3.8765e-05
1.62e-06	3.8765e-05
1.6225e-06	2.30491e-05
1.6275e-06	7.73589e-06
1.63e-06	-1.49887e-07
1.6325e-06	-1.49887e-07
1.6375e-06	-1.49887e-07
1.6425e-06	-1.49887e-07
1.6475e-06	-1.49887e-07
1.6525e-06	-1.49887e-07
1.655e-06	-1.49887e-07
1.6575e-06	-1.86609e-07
1.6625e-06	2.30491e-05
1.6675e-06	5.08261e-05
1.6725e-06	0.00100276
1.6775e-06	0.00100091
1.679e-06	0.00100176
1.6814e-06	0.00100176
1.6864e-06	0.00100176
1.6914e-06	0.00100176
1.6964e-06	0.00100176
1.7014e-06	0.00100176
1.704e-06	0.00100176
1.7065e-06	0.00100035
1.7115e-06	0.000997534
1.7165e-06	0.00070716
1.7215e-06	0.000384516
1.7265e-06	8.87795e-05
1.728e-06	-8.40762e-08
