t`s,v(node0)`V
0,0
2.50E-10,0
5.00E-10,0
1.30E-09,0
3.86E-09,0
8.86E-09,0
1.39E-08,0
1.89E-08,0
2.39E-08,0
2.50E-08,0
2.68E-08,0.0912003
3.18E-08,0.3412
3.50E-08,0.5
3.75E-08,0.5
4.25E-08,0.5
4.75E-08,0.5
5.25E-08,0.5
5.75E-08,0.5
6.00E-08,0.5
6.25E-08,0.375
6.75E-08,0.125
7.00E-08,0
7.25E-08,0
7.75E-08,0
8.25E-08,0
8.75E-08,0
9.25E-08,0
9.50E-08,0
9.75E-08,-0.125
1.03E-07,-0.375
1.08E-07,-0.625
1.13E-07,-0.875
1.18E-07,-1.125
1.23E-07,-1.375
1.25E-07,-1.5
1.28E-07,-1.5
1.33E-07,-1.5
1.38E-07,-1.5
1.43E-07,-1.5
1.48E-07,-1.5
1.50E-07,-1.5
1.53E-07,-1.375
1.58E-07,-1.125
1.63E-07,-0.875
1.68E-07,-0.625
1.73E-07,-0.375
1.78E-07,-0.125
1.80E-07,0
1.83E-07,0
1.88E-07,0
1.93E-07,0
1.98E-07,0
2.03E-07,0
2.05E-07,0
2.08E-07,0.125
2.13E-07,0.375
2.15E-07,0.5
2.18E-07,0.5
2.23E-07,0.5
2.28E-07,0.5
2.33E-07,0.5
2.38E-07,0.5
2.40E-07,0.5
2.43E-07,0.375
2.48E-07,0.125
2.50E-07,0
2.53E-07,0
2.58E-07,0
2.63E-07,0
2.68E-07,0
2.73E-07,0
2.75E-07,0
2.78E-07,0.125
2.83E-07,0.375
2.88E-07,0.625
2.93E-07,0.875
2.98E-07,1.125
2.99E-07,1.2
3.01E-07,1.2
3.06E-07,1.2
3.11E-07,1.2
3.16E-07,1.2
3.21E-07,1.2
3.24E-07,1.2
3.27E-07,1.075
3.32E-07,0.825
3.37E-07,0.575
3.42E-07,0.325
3.47E-07,0.0750002
3.48E-07,0
3.50E-07,0
3.55E-07,0
3.60E-07,0
3.65E-07,0
3.70E-07,0
3.73E-07,0
3.76E-07,0.125
3.81E-07,0.375
3.83E-07,0.5
3.86E-07,0.5
3.91E-07,0.5
3.96E-07,0.5
4.01E-07,0.5
4.06E-07,0.5
4.08E-07,0.5
4.11E-07,0.375
4.16E-07,0.125
4.18E-07,0
4.21E-07,0
