t`s	v(node0)`V
0	0
2.5e-10	0
5e-10	0
1.3e-09	0
3.86e-09	0
8.86e-09	0
1.386e-08	0
1.886e-08	0
2.386e-08	0
2.5e-08	0
2.6824e-08	0.0912003
3.1824e-08	0.3412
3.5e-08	0.5
3.75e-08	0.5
4.25e-08	0.5
4.75e-08	0.5
5.25e-08	0.5
5.75e-08	0.5
6e-08	0.5
6.25e-08	0.375
6.75e-08	0.125
7e-08	0
7.25e-08	0
7.75e-08	0
8.25e-08	0
8.75e-08	0
9.25e-08	0
9.5e-08	0
9.75e-08	-0.125
1.025e-07	-0.375
1.075e-07	-0.625
1.125e-07	-0.875
1.175e-07	-1.125
1.225e-07	-1.375
1.25e-07	-1.5
1.275e-07	-1.5
1.325e-07	-1.5
1.375e-07	-1.5
1.425e-07	-1.5
1.475e-07	-1.5
1.5e-07	-1.5
1.525e-07	-1.375
1.575e-07	-1.125
1.625e-07	-0.875
1.675e-07	-0.625
1.725e-07	-0.375
1.775e-07	-0.125
1.8e-07	0
1.825e-07	0
1.875e-07	0
1.925e-07	0
1.975e-07	0
2.025e-07	0
2.05e-07	0
2.075e-07	0.125
2.125e-07	0.375
2.15e-07	0.5
2.175e-07	0.5
2.225e-07	0.5
2.275e-07	0.5
2.325e-07	0.5
2.375e-07	0.5
2.4e-07	0.5
2.425e-07	0.375
2.475e-07	0.125
2.5e-07	0
2.525e-07	0
2.575e-07	0
2.625e-07	0
2.675e-07	0
2.725e-07	0
2.75e-07	0
2.775e-07	0.125
2.825e-07	0.375
2.875e-07	0.625
2.925e-07	0.875
2.975e-07	1.125
2.99e-07	1.2
3.014e-07	1.2
3.064e-07	1.2
3.114e-07	1.2
3.164e-07	1.2
3.214e-07	1.2
3.24e-07	1.2
3.265e-07	1.075
3.315e-07	0.825
3.365e-07	0.575
3.415e-07	0.325
3.465e-07	0.0750002
3.48e-07	0
3.504e-07	0
3.554e-07	0
3.604e-07	0
3.654e-07	0
3.704e-07	0
3.73e-07	0
3.755e-07	0.125
3.805e-07	0.375
3.83e-07	0.5
3.855e-07	0.5
3.905e-07	0.5
3.955e-07	0.5
4.005e-07	0.5
4.055e-07	0.5
4.08e-07	0.5
4.105e-07	0.375
4.155e-07	0.125
4.18e-07	0
4.205e-07	0
4.255e-07	0
4.305e-07	0
4.355e-07	0
4.405e-07	0
4.43e-07	0
4.455e-07	-0.125
4.505e-07	-0.375
4.555e-07	-0.625
4.605e-07	-0.875
4.655e-07	-1.125
4.705e-07	-1.375
4.73e-07	-1.5
4.755e-07	-1.5
4.805e-07	-1.5
4.855e-07	-1.5
4.905e-07	-1.5
4.955e-07	-1.5
4.98e-07	-1.5
5.005e-07	-1.375
5.055e-07	-1.125
5.105e-07	-0.875
5.155e-07	-0.625
5.205e-07	-0.375
5.255e-07	-0.125
5.28e-07	0
5.305e-07	0
5.355e-07	0
5.405e-07	0
5.455e-07	0
5.505e-07	0
5.53e-07	0
5.555e-07	0.125
5.605e-07	0.375
5.63e-07	0.5
5.655e-07	0.5
5.705e-07	0.5
5.755e-07	0.5
5.805e-07	0.5
5.855e-07	0.5
5.88e-07	0.5
5.905e-07	0.375
5.955e-07	0.125
5.98e-07	0
6.005e-07	0
6.055e-07	0
6.105e-07	0
6.155e-07	0
6.205e-07	0
6.23e-07	0
6.255e-07	0.125
6.305e-07	0.375
6.355e-07	0.625
6.405e-07	0.875
6.455e-07	1.125
6.47e-07	1.2
6.494e-07	1.2
6.544e-07	1.2
6.594e-07	1.2
6.644e-07	1.2
6.694e-07	1.2
6.72e-07	1.2
6.745e-07	1.075
6.795e-07	0.825
6.845e-07	0.575
6.895e-07	0.325
6.945e-07	0.0750002
6.96e-07	0
6.984e-07	0
7.034e-07	0
7.084e-07	0
7.134e-07	0
7.184e-07	0
7.21e-07	0
7.235e-07	0.125
7.285e-07	0.375
7.31e-07	0.5
7.335e-07	0.5
7.385e-07	0.5
7.435e-07	0.5
7.485e-07	0.5
7.535e-07	0.5
7.56e-07	0.5
7.585e-07	0.375
7.635e-07	0.125
7.66e-07	0
7.685e-07	0
7.735e-07	0
7.785e-07	0
7.835e-07	0
7.885e-07	0
7.91e-07	0
7.935e-07	-0.125
7.985e-07	-0.375
8.035e-07	-0.625
8.085e-07	-0.875
8.135e-07	-1.125
8.185e-07	-1.375
8.21e-07	-1.5
8.235e-07	-1.5
8.285e-07	-1.5
8.335e-07	-1.5
8.385e-07	-1.5
8.435e-07	-1.5
8.46e-07	-1.5
8.485e-07	-1.375
8.535e-07	-1.125
