t`s,v(vd)`V
0,0
1.56E-11,0
6.56E-11,0
2.26E-10,0
2.55E-10,0
3.51E-10,0
3.70E-10,0
4.31E-10,0
6.27E-10,0
6.66E-10,0
6.97E-10,0
7.98E-10,0
8.78E-10,0
1.13E-09,0
1.82E-09,0
3.19E-09,0
3.46E-09,0
4.34E-09,0
6.38E-09,0
6.55E-09,0
7.08E-09,0
8.78E-09,0
8.95E-09,0
9.50E-09,0
1.12E-08,0
1.14E-08,0
1.20E-08,0
1.37E-08,0
1.38E-08,0
1.41E-08,0
1.49E-08,0
1.50E-08,0
1.52E-08,0
1.54E-08,0
1.58E-08,0
1.69E-08,0
1.82E-08,0
2.01E-08,0
2.30E-08,0
2.35E-08,0.0256891
2.44E-08,0.0715683
2.74E-08,0.218382
3.05E-08,0.372686
3.58E-08,0.640193
3.90E-08,0.8
4.30E-08,1
4.54E-08,1.12125
4.70E-08,1.2
4.95E-08,1.2
5.47E-08,1.2
6.62E-08,1.2
7.00E-08,1.2
7.40E-08,1
7.80E-08,0.8
8.44E-08,0.48
8.63E-08,0.385473
9.23E-08,0.0829845
9.28E-08,0.0622384
9.38E-08,0.00917562
9.40E-08,0
9.43E-08,0
9.48E-08,0
9.59E-08,0
9.80E-08,0
1.01E-07,0
1.02E-07,0
1.03E-07,0
1.03E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.04E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.05E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.06E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.07E-07,0
1.08E-07,0
1.08E-07,0
1.08E-07,0
1.08E-07,0
1.08E-07,0
1.09E-07,0
1.10E-07,0
1.10E-07,0
1.11E-07,0
1.14E-07,0
1.17E-07,0
1.20E-07,0.0657091
1.21E-07,0.0905132
1.25E-07,0.169886
1.29E-07,0.248439
1.32E-07,0.3125
1.37E-07,0.40625
1.38E-07,0.442475
1.41E-07,0.5
1.45E-07,0.5
1.57E-07,0.5
1.64E-07,0.5
1.68E-07,0.416667
1.72E-07,0.333333
1.78E-07,0.2
1.80E-07,0.160544
1.86E-07,0.0342849
1.88E-07,0
1.90E-07,0
1.91E-07,0
1.94E-07,0
1.96E-07,0
1.97E-07,0
1.97E-07,0
1.99E-07,0
2.03E-07,0
2.05E-07,0
2.06E-07,0
2.09E-07,0
2.11E-07,0
2.15E-07,-0.220514
2.16E-07,-0.301222
2.20E-07,-0.538452
2.24E-07,-0.79166
2.27E-07,-1
2.31E-07,-1.25
2.33E-07,-1.35891
2.35E-07,-1.5
2.39E-07,-1.5
2.49E-07,-1.5
2.58E-07,-1.5
2.62E-07,-1.25
2.66E-07,-1
2.72E-07,-0.6
2.74E-07,-0.483918
2.80E-07,-0.112455
2.82E-07,0
2.84E-07,0
2.85E-07,0
2.86E-07,0
2.88E-07,0
2.90E-07,0
2.91E-07,0
2.91E-07,0
2.91E-07,0
2.92E-07,0
2.93E-07,0
2.96E-07,0
2.96E-07,0
2.97E-07,0
2.97E-07,0
2.98E-07,0
2.99E-07,0
3.00E-07,0
3.02E-07,0
3.05E-07,0
3.08E-07,0.0617751
3.09E-07,0.0921043
3.14E-07,0.182707
3.17E-07,0.259404
3.21E-07,0.333333
3.25E-07,0.416667
3.27E-07,0.453273
3.29E-07,0.5
3.33E-07,0.5
3.44E-07,0.5
3.52E-07,0.5
3.56E-07,0.416667
3.60E-07,0.333333
3.66E-07,0.2
3.68E-07,0.161587
3.74E-07,0.0386651
3.76E-07,0
3.78E-07,0
3.79E-07,0
3.82E-07,0
3.84E-07,0
3.85E-07,0
3.85E-07,0
3.86E-07,0
3.87E-07,0
3.87E-07,0
3.89E-07,0
3.89E-07,0
3.89E-07,0
3.90E-07,0
3.91E-07,0
3.91E-07,0
3.92E-07,0
3.92E-07,0
3.93E-07,0
3.93E-07,0
3.94E-07,0
3.95E-07,0
3.95E-07,0
3.96E-07,0
3.97E-07,0
3.98E-07,0
3.98E-07,0
3.98E-07,0
3.99E-07,0
3.99E-07,0
